# toolchain	target	path	line	column	declaration_context	diagnostic_group	normalized_diagnostic_stem	source_context_hash
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/CallbackBox.swift	48	9	func toOpaque() -> UnsafeMutableRawPointer {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	f0b38c53087ef157
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/CallbackBox.swift	54	9	static func fromOpaque(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	9c11a8ed798dcfab
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/CallbackBox.swift	80	9	var opaquePointer: UnsafeMutableRawPointer {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	f911522986326666
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/EventLoop.swift	27	19	let savedErrno = errno	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	70f9d717ef56f207
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/EventLoop.swift	37	19	package static func readEvents(display: OpaquePointer) throws(RuntimeError) {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	87de95289ed4d7e6
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	100	9	func fileDescriptor() throws(RuntimeError) -> CInt {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	18713a1399f31bed
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	104	9	func readEvents() throws(RuntimeError) {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	2bcf34f62d70d0ec
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	108	9	func cancelRead() {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	507448c9c0180cd8
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	11	19	let result = unsafe swl_display_dispatch_event_queue_pending(display, eventQueue)	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	ebeabbe9b343cc49
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	115	9	func pollFileDescriptors(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	3731885d56b66d4d
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	35	15	let savedErrno = errno	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	70f9d717ef56f207
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	47	9	package static func pumpOnce(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	85a588e5d671f50e
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	60	9	package static func pumpOnce(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	4f7ff5bdb1bd8fbd
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	74	13	package static func run(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	f6cea2ca7d16ab7b
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	83	16	private struct RawQueueEventLoopSource: QueueEventLoopSource {	StrictMemorySafety	struct '<value>' has storage involving unsafe types [#StrictMemorySafety]	bb173effd25ac301
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	88	9	func dispatchPending() throws(RuntimeError) -> Int32 {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	63c68e5453ede68f
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	92	9	func prepareRead() throws(RuntimeError) -> Bool {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	ea28e774df400d6a
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/QueueEventLoop.swift	96	9	func flush() throws(RuntimeError) -> Bool {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	77c3c169dc3e122c
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawBorrowedBuffer.swift	1	16	package struct RawBorrowedBuffer: Equatable {	StrictMemorySafety	struct '<value>' has storage involving unsafe types [#StrictMemorySafety]	9a986ee17ca3bbd7
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawBorrowedBuffer.swift	5	9	package init(pointer bufferPointer: OpaquePointer) {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	606a8c438680eba0
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawCompositor.swift	17	13	private var isDestroyed = false	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	4d3ee5747461e6ae
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawCompositor.swift	19	13	private var isDestroyed = false	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	c018d8b27082bf8e
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawCompositor.swift	27	29	package func createSurface() throws -> RawSurface {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	a5542825a4f88525
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawCompositor.swift	31	16	package func createSurface() throws -> RawSurface {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	a98e32a6f814f724
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawCompositor.swift	38	9	func destroy() {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	59324ca76d59f5ae
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawCompositor.swift	4	21	package final class RawCompositor {	StrictMemorySafety	class '<value>' has storage involving unsafe types [#StrictMemorySafety]	2fb8ddef245d095b
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplay.swift	13	9	package let metadata: RawProxyMetadata	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	04c10434a26558c3
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplay.swift	3	21	package final class RawDisplay: CustomStringConvertible {	StrictMemorySafety	class '<value>' has storage involving unsafe types [#StrictMemorySafety]	537e153ed5ff48bb
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	100	17	let boundedRemaining = Int32(min(remainingMilliseconds, Int64(Int32.max)))	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	683eda536c8d4a53
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	110	36	private func createDisplayWrapperOnEventQueue() throws -> OpaquePointer {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	077df6f5d13bb979
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	113	9	private func createDisplayWrapperOnEventQueue() throws -> OpaquePointer {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	5da2c409fd9ef0b4
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	114	16	private func createDisplayWrapperOnEventQueue() throws -> OpaquePointer {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	76399328f2f7470d
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	12	16	package func dispatchPendingEvents() throws -> Int32 {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	fb93051515eff8cf
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	20	16	package func prepareReadEvents() throws -> Bool {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	47f2660e4617a1ec
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	28	16	package func flushForExternalEventLoop() throws -> Bool {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	c41d4b278d55a888
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	33	9	package func readEvents() throws {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	74031e18f2b909df
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	38	9	package func cancelReadEvents() {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	611b63545b0124b2
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	47	9	package func pumpEvents(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	c338db6bda02a166
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	7	16	package var eventLoopFileDescriptor: CInt {	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	a8ed95621f04cd69
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	71	30	let wrappedDisplay = try createDisplayWrapperOnEventQueue()	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	2bea988bbe271762
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	72	34	let wrappedDisplay = try createDisplayWrapperOnEventQueue()	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	f35b9e609d094bc0
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	73	13	let wrappedDisplay = try createDisplayWrapperOnEventQueue()	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	7164abfcc34128ac
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	76	9	let wrappedDisplay = try createDisplayWrapperOnEventQueue()	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	e0a6fd94674b49cc
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	78	17	let wrappedDisplay = try createDisplayWrapperOnEventQueue()	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	ab2ef60f07ffc1eb
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	80	13	let wrappedDisplay = try createDisplayWrapperOnEventQueue()	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	4d08b70131308279
swift-6.3.1	WaylandRaw	Sources/WaylandRaw/RawDisplayConnection+EventLoop.swift	86	28	let registration = try FrameCallbackRegistration(	StrictMemorySafety	expression uses unsafe constructs but is not marked with '<value>' [#StrictMemorySafety]	7dc4adf09f0e3cfd
