# path-pattern	token	reason
Sources/CWaylandRuntimeShims/**	eventfd	C shim for the executor wake fd.
Sources/CWaylandProtocols/include/generated/**	wl_proxy_add_listener	Generated Wayland protocol headers.
Sources/WaylandCursor/**	OpaquePointer	wayland-cursor C object wrappers.
Sources/WaylandKeyboard/**	OpaquePointer	xkbcommon C object wrappers.
Sources/WaylandKeyboard/Internal/XKB/KeyboardLayoutState.swift	@unchecked Sendable	Owned compose table pointer carrier returned across a Mutex lock boundary.
Sources/WaylandKeyboard/**	UnsafeMutablePointer	xkbcommon keymap/state pointer storage.
Sources/WaylandKeyboard/Internal/XKB/KeyboardLayoutState.swift	UnsafePointer	xkbcommon borrowed keysym array from xkb_state_key_get_syms.
Sources/WaylandRaw/**	OpaquePointer	Raw Wayland ownership wrappers and typed proxy shims.
Sources/WaylandRaw/**	UnsafeMutablePointer	Raw listener/proxy/storage boundary.
Sources/WaylandRaw/**	UnsafeMutableBufferPointer	Raw event-loop and memory-layout bridge.
Sources/WaylandRaw/Public/Types/RawFileDescriptor.swift	UnsafeBufferPointer	Raw fd write bridge passes borrowed immutable bytes to the no-SIGPIPE C shim.
Sources/WaylandRaw/**	UnsafeMutableRawPointer	Raw listener userData and SHM mmap boundary.
Sources/WaylandRaw/**	UnsafeMutableRawBufferPointer	Raw SHM mmap buffer boundary.
Sources/WaylandRaw/**	UnsafePointer	Raw generated listener signatures and borrowed C strings.
Sources/WaylandRaw/**	UnsafeRawPointer	Raw C buffer/keymap boundary.
Sources/WaylandRaw/**	UnsafeRawBufferPointer	Raw Wayland array buffer view.
Sources/WaylandRaw/**	Unmanaged	Raw listener box lifetime bridge.
Sources/WaylandRaw/Internal/EventLoop/EventLoop.swift	poll(	Wayland external event-loop integration.
Sources/WaylandRaw/Internal/EventLoop/QueueEventLoop.swift	poll(	Queue-specific Wayland external event-loop integration.
Sources/WaylandRaw/Internal/Ownership/RawProxyAdoption.swift	swl_proxy_get_queue_raw	Centralized runtime queue assertion for proxy adoption.
Sources/WaylandRaw/Internal/Support/ThreadAffinity.swift	pthread_*	Raw owner-thread affinity token.
Sources/WaylandGraphicsPreview/Internal/GBM/**	OpaquePointer	GBM preview device and buffer object lifetime wrappers.
Sources/WaylandGraphicsPreview/Internal/GBM/DRMRenderNodeSelection.swift	UnsafeBufferPointer	Borrow dmabuf device bytes and C string storage for libdrm render-node lookup.
Sources/WaylandGraphicsPreview/Internal/GBM/DRMRenderNodeSelection.swift	UnsafeMutableBufferPointer	Borrow render-node path storage for libdrm render-node lookup.
Sources/WaylandGraphicsPreview/Internal/EGL/**	UnsafeMutableRawPointer	EGL preview display, context, and surface lifetime wrappers.
Sources/WaylandGraphicsPreview/Internal/EGL/EGLRenderTarget.swift	UnsafeMutableBufferPointer	Scoped GPU smoke pixel readback buffer.
Sources/WaylandRuntime/**	eventfd	Executor wake fd primitive.
Sources/WaylandRuntime/**	nonisolated(unsafe)	Synchronized pthread-backed executor internals.
Sources/WaylandRuntime/**	pthread_*	Executor owner thread, mutex, condition, and join primitives.
Sources/WaylandRuntime/**	poll(	Executor-owned Wayland fd and wake fd multiplexing.
Sources/WaylandRuntime/**	UnsafeMutableBufferPointer	Executor-owned poll descriptor storage.
Sources/WaylandRuntime/**	UnsafeMutablePointer	Owned ExecutorJob storage and wake-fd reads.
Sources/WaylandRuntime/**	UnsafePointer	Wake-fd writes.
Sources/WaylandRuntime/**	Unmanaged	pthread_create self-retain bridge.
Sources/WaylandRuntime/EventLoop/UnsafeDefaultQueueEventLoop.swift	OpaquePointer	Quarantined unsafe default-queue event-loop escape hatch.
Sources/WaylandRuntime/EventLoop/UnsafeDefaultQueueEventLoop.swift	UnsafeDefaultQueueEventLoop	Quarantined unsafe default-queue event-loop escape hatch.
Sources/WaylandRuntime/EventLoop/UnsafeDefaultQueueEventLoop.swift	wl_display_dispatch_pending	Quarantined unsafe default-queue event-loop escape hatch.
Sources/WaylandRuntime/EventLoop/UnsafeDefaultQueueEventLoop.swift	wl_display_prepare_read	Quarantined unsafe default-queue event-loop escape hatch.
Sources/CEGLShims/egl-shims.c	pthread_*	Testing-only EGL shim recording lock used to serialize hook globals under ThreadSanitizer.
Sources/CWaylandProtocols/include/swift-wayland-shims.h	wl_proxy_get_queue	Queue assertion shim declaration.
Sources/CWaylandProtocols/include/swift-wayland-shims.h	swl_proxy_get_queue_raw	Queue assertion shim declaration.
Sources/CWaylandProtocols/shims/display-core.c	wl_proxy_create_wrapper	Queue-at-creation wrapper shim.
Sources/CWaylandProtocols/shims/display-core.c	wl_proxy_set_queue	Queue-at-creation wrapper shim.
Sources/CWaylandProtocols/shims/display-core.c	wl_proxy_wrapper_destroy	Queue-at-creation wrapper shim.
Sources/CWaylandRuntimeShims/fd-shim.c	pthread_*	C shim blocks SIGPIPE around fd writes without changing process-global signal disposition.
Sources/CWaylandProtocols/shims/requests-core.c	wl_proxy_get_queue	Queue assertion shim implementation.
Sources/CWaylandProtocols/shims/requests-core.c	swl_proxy_get_queue_raw	Queue assertion shim implementation.
Sources/WaylandClient/Public/Rendering/SoftwareFrame.swift	UnsafeMutableBufferPointer	Scoped software-frame row spans.
Sources/WaylandClient/Public/Rendering/SoftwareFrame.swift	UnsafeMutableRawBufferPointer	Scoped software-frame backing bytes.
Sources/WaylandClient/Internal/Events/EventBrokerLockedState.swift	@unchecked Sendable	Private NSLock-protected event broker state shared by event producers and subscribers.
Sources/WaylandClient/Internal/DataTransfer/DataTransferSourceWriteTypes.swift	UnsafeRawBufferPointer	Scoped borrowed data-transfer write buffer.
Sources/WaylandClient/Internal/DataTransfer/DataTransferSourceWriter.swift	UnsafeRawBufferPointer	Descriptor write injection accepts borrowed data-transfer write buffers.
Sources/WaylandClient/Public/DataTransfer/OwnedFileDescriptor.swift	UnsafeRawBufferPointer	Scoped borrowed public file-descriptor write buffer.
Sources/WaylandClient/Internal/DataTransfer/DataTransferSourceWriter.swift	@unchecked Sendable	Private condition-protected data-transfer writer state shared with one worker thread.
Tests/WaylandRuntimeTests/Executor/WaylandThreadExecutorConcurrencyTests.swift	@unchecked Sendable	Private NSLock-protected test recorder state shared by detached shutdown caller threads.
Tests/**	OpaquePointer	Test doubles for raw C object wrappers.
Tests/**	UnsafeMutablePointer	Test doubles for C listener and buffer APIs.
Tests/**	UnsafeMutableBufferPointer	Test doubles for C buffer APIs.
Tests/**	UnsafeMutableRawPointer	Test doubles for C listener userData.
Tests/**	UnsafeMutableRawBufferPointer	Test doubles for C buffer APIs.
Tests/**	UnsafePointer	Test doubles for C listener and keymap APIs.
Tests/**	UnsafeBufferPointer	Test doubles for C strings and temporary file paths.
Tests/**	UnsafeRawPointer	Test doubles for C buffer APIs.
Tests/**	UnsafeRawBufferPointer	Test doubles for C buffer APIs.
Tests/WaylandClientTests/Input/InputRouterTests.swift	Unmanaged	Input target regression names use UnmanagedSurface as a domain state, not Swift Unmanaged.
